Headline,Type,Link
Pakistan name Aqib Javed white-ball coach till Champions Trophy 2025,Sports,https://thedailystar.net/sports/cricket/news/pakistan-name-aqib-javed-white-ball-coach-till-champions-trophy-2025-3755696
Imrul departs for one in red-ball swansong ,Sports,https://www.thedailystar.net/sports/cricket/news/imrul-departs-one-red-ball-swansong-3755001
Rishad reveals his thoughts on IPL,Sports,https://www.thedailystar.net/sports/cricket/news/rishad-reveals-his-thoughts-ipl-3754836
Kane hopes Tuchel's winning record will help end England's trophy wait,Sports,https://www.thedailystar.net/sports/football/news/kane-hopes-tuchels-winning-record-will-help-end-englands-trophy-wait-3754776
England lose three after West Indies fold for 282,Sports,https://www.thedailystar.net/sports/cricket/news/england-lose-three-after-west-indies-fold-282-3662876
"All the records broken during West Indies' stunning T20 World Cup innings
",Sports,https://www.thedailystar.net/sports/sports-special/t20-world-cup-2024/news/all-the-records-broken-during-west-indies-stunning-t20-world-cup-innings-3636416
Bentancur banned for seven games over racial slur,Sports,https://www.bbc.com/sport/football/articles/c86q570vw6xo
Australia rout Pakistan to seal T20 clean sweep,Sports,https://www.bbc.com/sport/cricket/articles/crez1nzwqj0o
"NCL round-up: Unbeaten Sylhet thrash Dhaka Metropolis, Rajshahi lose again",Sports,https://www.espncricinfo.com/story/ncl-round-5-round-up-unbeaten-sylhet-thrash-dhaka-metropolis-rajshahi-lose-again-1460223
Zimbabwe pick three uncapped players in ODI squad for Pakistan series,Sports,https://www.espncricinfo.com/story/zimbabwe-pick-three-uncapped-players-in-odi-squad-for-pakistan-series-1460220
Vettori to leave Australia Test coaching duties for IPL auction,Sports,https://www.espncricinfo.com/story/daniel-vettori-to-leave-australia-test-coaching-duties-for-ipl-auction-1460159
One-arm Agar and Rocchiccioli's rare hat-trick can't stop Victoria racing top,Sports,sheffield-shield-2024-25-1444468/victoria-vs-western-australia-
"Australia vs Pakistan 3rd T20I, LIVE Cricket Score: AUS beat PAK by seven wickets, win series 3-0",Sports,https://indianexpress.com/article/sports/cricket/australia-vs-pakistan-3rd-t20i-live-cricket-score-aus-vs-pak-today-t20-match-live-scorecard-online-9675435/
"How Prepared Are India For Perth Test? Coaches Abhishek Nayar, Morne Morkel Share Progress Report | Watch",Sports,https://www.news18.com/cricket/ind-vs-aus-how-prepared-are-india-for-perth-test-coaches-abhishek-nayar-morne-morkel-share-progress-report-watch-9123870.html
ICC Champions Trophy 2025: Tour Kicks Off In Pakistan Amid Controversy Over PoK Venues,Sports,https://zeenews.india.com/cricket/icc-champions-trophy-2025-tour-kicks-off-in-pakistan-amid-controversy-over-pok-venues-2821080.html
"SA 148-10 | IND vs SA, 4th T20 Highlights: India Thrash South Africa By 135 Runs To Win Series 3-1",Sports,https://zeenews.india.com/cricket/live-updates/ind-vs-sa-4th-t20-match-live-cricket-score-and-updates-india-vs-south-africa-scorecard-from-wanderers-stadium-johannesburg-suryakumar-yadav-aiden-markram-2820703.html
‘Game Plan Will Change’: David Warner Issues Warning To Fraser-McGurk Ahead Of Australia's 2nd T20I vs Pakistan,Sports,https://zeenews.india.com/cricket/game-plan-will-change-david-warner-issues-warning-to-fraser-mcgurk-ahead-of-australias-2nd-t20i-vs-pakistan-2820791.html
"'240 million people, 7 athletes': How Pakistan is performing in Paris Olympics after 'shameful' welcome",Sports,https://www.hindustantimes.com/sports/olympics/how-pakistan-performing-paris-olympics-after-shameful-welcome-240-million-people-7-athletes-arshad-nadeem-ind-vs-pak-101722271528252.html
Pandya crowned top T20I all-rounder after World Cup final heroics,Sports,https://www.thedailystar.net/sports/cricket/news/pandya-crowned-top-t20i-all-rounder-after-world-cup-final-heroics-3647936
[Watch] Babar Azam gets bowled by Adam Zampa for 41 in AUS vs PAK 2024 3rd T20I,Sports,https://www.sportskeeda.com/cricket/news-watch-babar-azam-gets-bowled-adam-zampa-41-aus-vs-pak-2024-3rd-t20i
[In Pictures] Pakistan's white-ball skipper Mohammad Rizwan donates a pair of gloves and a jersey to the Sydney Cricket Ground Museum,Sports,https://www.sportskeeda.com/cricket/news-in-pictures-pakistan-s-white-ball-skipper-mohammad-rizwan-donates-pair-gloves-jersey-sydney-cricket-ground-museum
Bangladesh cricket team announces 18-man squad for ODI series against West Indies,Sports,https://www.sportskeeda.com/cricket/news-bangladesh-cricket-team-announces-18-man-squad-odi-series-west-indies
"""I would have done the same"" - Travis Head backs Rohit Sharma's decision to skip Perth Test in the Border-Gavaskar Trophy 2024-25",Sports,https://www.sportskeeda.com/cricket/news-i-done-same-travis-head-backs-rohit-sharma-s-decision-skip-perth-test-border-gavaskar-trophy-2024-25
[Watch] Virat Kohli's batting video from net practice at WACA ahead of 1st IND vs AUS Test 2024 in Perth,Sports,https://www.sportskeeda.com/cricket/news-watch-virat-kohli-s-batting-video-practice-match-waca-goes-viral-ahead-1st-ind-vs-aus-test-2024-perth
Shakib Al Hasan returns as Bangladesh name preliminary squad for West Indies series,Sports,https://www.sportskeeda.com/cricket/news-shakib-al-hasan-returns-bangladesh-name-preliminary-squad-west-indies-series
"Poland vs Scotland LIVE! Nations League match updates, score, commentary and news",Sports,https://www.skysports.com/football/poland-vs-scotland/live/503669
David Silva retires from international football with Spain,Sports,https://www.skysports.com/football/news/12024/11471948/david-silva-retires-from-international-football-with-spain?dicbo=v2-OmlU9H9
West Indies vs England: Tourists clinch series with edgy three-wicket win in third T20 international in St Lucia,Sports,https://www.skysports.com/cricket/news/12123/13254427/west-indies-vs-england-tourists-clinch-series-with-edgy-three-wicket-win-in-third-t20-internatioanl-in-st-lucia?dicbo=v2-yxfqKXh
"West Indies vs England, third T20: Score, updates and analysis from third T20 as hosts secure series win",Sports,https://www.skysports.com/cricket/live-blog/33879/13254285/west-indies-vs-england-third-t20-live-score-updates-and-analysis-from-third-t20-international-in-st-lucia
Rodrigo Bentancur: Tottenham midfielder handed seven-game ban for Heung-Min Son racial slur,Sports,https://www.skysports.com/football/news/11095/13256123/rodrigo-bentancur-tottenham-midfielder-handed-seven-game-ban-for-heung-min-son-racial-slur
Man City: Pep Guardiola's side face Tottenham and Liverpool in season-defining run of fixtures,Sports,https://www.skysports.com/football/news/11096/13253010/man-city-pep-guardiolas-side-face-tottenham-and-liverpool-in-season-defining-run-of-fixtures
Tottenham 0-3 Arsenal | Women's Super League highlights,Sports,https://www.skysports.com/watch/video/13255287/tottenham-0-3-arsenal-womens-super-league-highlights
"Norway coach Stale Solbakken celebrated his team's promotion to Nations League Group A after Sunday’s victory over Kazakhstan, but emphasised that despite their potential more improvement was needed as they target qualifying for the 2026 World Cup.",Sports,https://www.reuters.com/sports/soccer/norway-must-improve-world-cup-push-after-nations-league-promotion-2024-11-18/
"Dutch leave De Jong, Van Dijk out of last Nations League clash",Sports,https://www.reuters.com/sports/soccer/dutch-leave-de-jong-van-dijk-out-last-nations-league-clash-2024-11-18/
Norway must improve for World Cup push after Nations League promotion,Sports,https://www.reuters.com/sports/soccer/norway-must-improve-world-cup-push-after-nations-league-promotion-2024-11-18/
Wood hits hat-trick as NZ storm through in Oceania World Cup qualifiers,Sports,https://www.reuters.com/sports/soccer/wood-hits-hat-trick-nz-storm-through-oceania-world-cup-qualifiers-2024-11-18/
Ind vs Aus: Rohit to miss first Test; Bumrah to lead,Sports,https://www.thehindu.com/sport/cricket/fit-kl-rahul-set-to-open-in-perth-rohit-to-miss-first-test-as-bumrah-handed-captaincy/article68879084.ece
England captain Harry Kane criticises player withdrawals from Nations League games,Sports,https://www.thehindu.com/sport/football/england-captain-harry-kane-criticises-player-withdrawals-from-nations-league-games/article68867278.ece
Ronaldo at double as Portugal reach Nations League quarters; Spain won,Sports,https://www.thehindu.com/sport/football/ronaldo-at-double-as-portugal-reach-nations-league-quarters-spain-won/article68877054.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=0&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s
"Scotland vs Poland, UEFA Nations League 2024-25 Live Streaming and Match Time in IST: How to Watch Free Live Telecast of CRO vs POR on TV and Online Stream Details of Football Match in India?",Sports,https://www.latestly.com/sports/football/scotland-vs-poland-uefa-nations-league-2024-25-live-streaming-and-match-time-in-ist-how-to-watch-free-live-telecast-of-cro-vs-por-on-tv-and-online-stream-details-of-football-match-in-india-6425849.html
Is Cristiano Ronaldo playing today for Portugal vs Croatia in 2024-25 UEFA Nations League?,Sports,https://bolavip.com/en/soccer/is-cristiano-ronaldo-playing-today-for-portugal-vs-croatia-in-2024-25-uefa-nations-league
France Megastar Offers Honest Verdict On Italy Vs France UEFA Nations League Blockbuster: “Strange To Play Vs My Inter Brothers”,Sports,https://sempreinter.com/2024/11/18/marcus-thuram-after-italy-vs-france-strange-play-vs-my-inter-brothers/
Scotland Nations League games to be shown on YouTube,Sports,https://www.bbc.com/sport/football/articles/cn8gee82589o
Van Dijk leaves Netherlands camp,Sports,https://www.bbc.com/sport/football/articles/c0mzj8lr9nlo
"Late goals, corners and fine margins - Premier League trends",Sports,https://www.bbc.com/sport/football/articles/c98dnw2x97lo
"England, West Indies stars enjoy T20I rankings jumps",Sports,https://www.icc-cricket.com/news/england-west-indies-stars-enjoy-t20i-rankings-jumps
"SKY leaves rivals in his wake with further T20I rankings push
",Sports,https://www.icc-cricket.com/news/sky-leaves-rivals-in-his-wake-with-further-t20i-rankings-push
"New No.1 ranked T20I bowler crowned, Babar takes top spot from Gill",Sports,"New No.1 ranked T20I bowler crowned, Babar takes top spot from Gill"
Sri Lanka rest quartet for final ODI with South Africa tour on mind,Sports,https://www.icc-cricket.com/news/sri-lanka-rest-quartet-for-final-odi-with-south-africa-tour-on-mind
"No, Trump Cannot Run for Re-election Again in 2028",Political,"No, Trump Cannot Run for Re-election Again in 2028"
Is This the End of the White Working-Class Democrat?,Political,https://www.nytimes.com/2024/11/18/us/politics/democrats-white-working-class-harris.html
"After Flurry of Cabinet Picks, Trump Rethinks Candidates for Treasury Secretary",Political,https://www.nytimes.com/2024/11/17/us/politics/trump-treasury-candidates.html
This Lawyer Has Some Advice for Trump’s Would-Be Targets: Take A Vacation,Political,https://www.politico.com/
Can we exorcise Sisyphus from our political culture?,Political,https://www.thedailystar.net/opinion/views/news/can-we-exorcise-sisyphus-our-political-culture-3752801
Political parties want road map to polls,Political,https://www.thedailystar.net/opinion/views/news/can-we-exorcise-sisyphus-our-political-culture-3752801
Proposals for a balanced government,Political,https://www.thedailystar.net/opinion/views/news/proposals-balanced-government-3717041
BNP's meet with interim govt: Roadmap for polls sought,Political,https://www.thedailystar.net/news/bangladesh/news/bnps-meet-interim-govt-roadmap-polls-sought-3720181
BNP’s pledge for reforms sounds good,Political,https://www.thedailystar.net/opinion/editorial/news/bnps-pledge-reforms-sounds-good-3753646
"Post-August 5 politics: BNP, Jamaat drifting apart",Political,https://www.thedailystar.net/news/bangladesh/news/post-august-5-politics-bnp-jamaat-drifting-apart-3706271
The opportunity to reform Bangladesh must not be wasted,Political,https://www.thedailystar.net/opinion/views/news/the-opportunity-reform-bangladesh-must-not-be-wasted-3672541
"Tracking Trump's picks to serve in his Cabinet, administration",Political,https://abcnews.go.com/Politics/tracking-trump-named-serve-cabinet-administration/story?id=115777302
Biden makes historic visit to the Amazon rainforest,Political,https://abcnews.go.com/Politics/biden-makes-historic-visit-amazon-rainforest/story?id=115951084
Trump nominates Liberty Energy CEO Chris Wright for energy secretary,Political,https://abcnews.go.com/Politics/video/trump-nominates-liberty-energy-ceo-chris-wright-energy-115947023
Trump picks loyalists for his new administration,Political,https://abcnews.go.com/Politics/video/trump-picks-loyalists-new-administration-115944417
'It wasn't on my bingo card': Sarah Isgur on Trump's pick of Matt Gaetz for AG,Political,https://abcnews.go.com/Politics/video/bingo-card-sarah-isgur-trumps-pick-matt-gaetz-115916120
BNP disappointed by Yunus’s address to the nation,Political,https://www.dhakatribune.com/bangladesh/politics/365491/bnp-disappointed-by-yunus%E2%80%99s-address-to-the-nation
Amir Khasru: BNP came out stronger every time it faced obstruction,Political,https://www.dhakatribune.com/bangladesh/politics/365354/amir-khasru-bnp-came-out-stronger-every-time-it
BNP Vice Chairman Azam Khan urges interim govt to expedite election roadmap,Political,https://www.dhakatribune.com/bangladesh/politics/365347/bnp-vice-chairman-azam-khan-urges-interim-govt-to
Tarique to interim govt: People will not tolerate incompetence,Political,https://www.dhakatribune.com/bangladesh/politics/365348/tarique-to-interim-govt-people-won%E2%80%99t-tolerate
National Citizens’ Committee demands Awami League’s trial for July-August massacre,Political,https://www.dhakatribune.com/bangladesh/politics/365264/national-citizens%E2%80%99-committee-demands-awami
Nur withdraws statement regarding ICT Chief Prosecutor Tajul,Political,https://www.dhakatribune.com/bangladesh/politics/365256/nur-withdraws-statement-regarding-chief-prosecutor
Tarique Rahman: BNP's 31-point plan to set Bangladesh on a new path,Political,https://www.dhakatribune.com/bangladesh/politics/365188/tarique-rahman-bnp-s-31-point-plan-to-set
Tarique Rahman: BNP's 31-point plan to set Bangladesh on a new path,Political,https://www.dhakatribune.com/bangladesh/politics/365188/tarique-rahman-bnp-s-31-point-plan-to-set
"Post-August 5 politics: BNP, Jamaat drifting apart",Political,https://www.thedailystar.net/news/bangladesh/news/post-august-5-politics-bnp-jamaat-drifting-apart-3706271
Students block Mirpur Road demanding merit-based admissions,Political,https://www.thedailystar.net/news/bangladesh/news/students-block-mirpur-road-demanding-merit-based-admissions-3754711
"‘Why would Awami League need to resort to rigging in this scenario?’
",Political,https://www.thedailystar.net/opinion/road-elections-2023-24/news/why-would-awami-league-need-resort-rigging-scenario-3510881
‘I see no reason to call this an election.’,Political,https://www.thedailystar.net/opinion/road-elections-2023-24/news/i-see-no-reason-call-election-3510856
Politics must not be a means to wealth accumulation,Political,https://www.thedailystar.net/opinion/editorial/news/politics-must-not-be-means-wealth-accumulation-3505006
Forced voting to fool the world?,Political,https://www.thedailystar.net/opinion/views/news/forced-voting-fool-the-world-3503971
When the ruling party does the opposition's work,Political,https://www.thedailystar.net/opinion/views/the-street-view/news/when-the-ruling-party-does-the-oppositions-work-3500676
Politicians’ wealth surge and why nations fail,Political,https://www.thedailystar.net/opinion/views/news/politicians-wealth-surge-and-why-nations-fail-3496696
BNP leader dies in Kashimpur Jail,Political,https://www.thedailystar.net/news/bangladesh/politics/news/bnp-leader-dies-kashimpur-jail-3483356
Will Khadija’s ordeal end with her release?,Political,https://www.thedailystar.net/opinion/editorial/news/will-khadijas-ordeal-end-her-release-3474441
Trump’s influence already generating drama among world leaders as G20 gets underway,Political,https://edition.cnn.com/2024/11/18/politics/g20-leader-reaction-trump/index.html
Florida court fight gives insight into the House review of sex allegations against Matt Gaetz,Political,https://edition.cnn.com/2024/11/18/politics/matt-gaetz-florida-court-fight/index.html
"As attorney general, Gaetz would go from being under DOJ scrutiny to leading the nation’s top law enforcement agency",Political,https://edition.cnn.com/2024/11/17/politics/matt-gaetz-attorney-general-nomination/index.html
Biden makes first presidential visit to the Amazon as incoming Trump administration poses a threat to climate fight,Political,https://edition.cnn.com/2024/11/17/politics/biden-amazon-rainforest-visit-brazil/index.html
"As Trump vows mass deportation, polls suggest growing support – but not a mandate",Political,https://edition.cnn.com/2024/11/17/politics/mass-deportation-trump-polling/index.html
What the next Trump presidency could mean for US education,Political,https://edition.cnn.com/2024/11/17/politics/donald-trump-education-changes/index.html
What is impoundment? How Trump thinks he can control spending without Congress,Political,https://edition.cnn.com/2024/11/18/politics/donald-trump-impoundment-congress-what-matters/index.html
"Cabinet confirmation process and recess appointments, explained",Political,https://edition.cnn.com/2024/11/14/politics/cabinet-confirmation-recess-what-matters/index.html
Trump’s latest controversial Cabinet pick could have a huge impact on Americans’ health and lives,Political,https://edition.cnn.com/2024/11/15/politics/trump-rfk-cabinet-pick-american-health-analysis/index.html
Why Trump is trying to outrage Washington with his controversial Cabinet picks,Political,https://edition.cnn.com/2024/11/14/politics/trump-outrage-washington-cabinet-analysis/index.html
Trump stirs the pot with shock Cabinet picks,Political,https://edition.cnn.com/2024/11/13/politics/donald-trump-cabinet-what-matters/index.html
"Republicans will retain House majority, CNN projects, completing GOP’s dominance of Washington",Political,https://edition.cnn.com/2024/11/13/politics/house-control-republicans-trifecta/index.html
Trump rolls out his most MAGA picks for new White House term,Political,https://edition.cnn.com/2024/11/13/politics/trump-maga-cabinet-picks-analysis/index.html
"Why these Republicans think voting against Trump could save the GOP
",Political,https://edition.cnn.com/2024/10/26/politics/pennsylvania-haley-voters-trump-harris/index.html
Biden’s green light for Ukraine to use ATACMS in Russia just raised the stakes in a war Trump will inherit,Political,https://edition.cnn.com/2024/11/17/europe/analysis-biden-atacms-ukraine-intl-latam/index.html?iid=cnn_buildContentRecirc_end_recirc
Trump doubles down on provocative Cabinet picks as their fates hang in the balance,Political,https://edition.cnn.com/2024/11/18/politics/trump-provocative-cabinet-picks-analysis/index.html?iid=cnn_buildContentRecirc_end_recirc
